symbol,status,entry_price,stop_loss,take_profit,units,entry_timestamp,exit_timestamp,exit_reason,pnl
XVGUSDT,OPEN,0.00569,0.005539972996656544,0.008690540066869108,33327333.67041631,420,,,0.0
AIXBTUSDT,OPEN,0.11001,0.10465946816287097,0.21702063674258049,934486.5430579118,341,,,0.0
PLAYUSDT,OPEN,0.04739,0.04172049169691913,0.16078016606161738,881910.693610405,418,,,0.0
GTCUSDT,OPEN,0.343,0.33390597004867695,0.5248805990264616,549811.2527408771,413,,,0.0
OGNUSDT,OPEN,0.0651,0.06257995527414065,0.11550089451718716,1984091.7697581558,431,,,0.0
FHEUSDT,OPEN,0.05513,0.05346161797392461,0.08849764052150776,2996915.5276515,436,,,0.0
GPSUSDT,OPEN,0.01793,0.01140815975066124,0.1483668049867752,766654.7797620376,404,,,0.0
BANANAUSDT,OPEN,19.417,18.960633601741762,28.544327965164797,10956.108992868263,434,,,0.0
MORPHOUSDT,OPEN,2.0345,2.005365851455238,2.6171829708952363,171619.911675743,170,,,0.0
INJUSDT,OPEN,13.12,13.01744071491484,15.171185701703168,48752.28991551892,438,,,0.0
DFUSDT,OPEN,0.0276,0.02707319444165784,0.03813611116684318,9491167.890739134,423,,,0.0
1000SHIBUSDT,OPEN,0.012566,0.012375850908714688,0.016368981825706265,26295155.902152825,437,,,0.0
ERAUSDT,OPEN,0.726,0.7166527011050211,0.9129459778995774,534913.8886192963,437,,,0.0
MANTAUSDT,OPEN,0.2031,0.19807212667189578,0.30365746656208453,994456.2389930503,418,,,0.0
OPUSDT,OPEN,0.7286,0.7154973527147213,0.9906529457055754,381602.27403951075,418,,,0.0
BSWUSDT,OPEN,0.0182,0.01808977447772131,0.02040451044557382,45361545.099855766,30,,,0.0
1000LUNCUSDT,OPEN,0.05984,0.05920544370897986,0.0725311258204028,7879521.597621837,440,,,0.0
1MBABYDOGEUSDT,OPEN,0.0012751,0.0012097257516499992,0.002582584967000014,76482714.92516434,437,,,0.0
AINUSDT,OPEN,0.10549,0.10151755515729595,0.18493889685408102,1258670.7174004435,439,,,0.0
ZENUSDT,OPEN,7.37,7.195684438814944,10.856311223701116,28683.612444054448,434,,,0.0
APEUSDT,OPEN,0.586,0.5774165774774446,0.7576684504511079,582518.2189110545,410,,,0.0
BBUSDT,OPEN,0.15109,0.14170903427926893,0.33870931441462154,532994.1659365045,423,,,0.0
